Distance,SNR,TOF,Label
1.9601407051086426, 11.043680191040039, 2881, 1
5.210519790649414, 13.353117942810059, 1015, 1
1.3418182134628296, 14.812345504760742, 818, 1
0.4484204351902008, 14.597206115722656, 949, 1
0.8466636538505554, 27.350704193115234, 855, 1
1.5637507438659668, 26.12247657775879, 1420, 1
2.2090344429016113, 14.284043312072754, 2549, 1
1.727562665939331, 20.9017333984375, 3488, 0
1.9316400289535522, 20.322025299072266, 2223, 0
2.2799971103668213, 10.635042190551758, 1946, 0
5.210519790649414, 15.982827186584473, 2229, 0
5.215701580047607, 17.644609451293945, 2428, 0
5.454730033874512, 12.257309913635254, 2625, 0
5.131564617156982, 13.206171989440918, 2374, 0
5.332624435424805, 12.580333709716797, 2289, 0
2.2118585109710693, 17.08626365661621, 2260, 0
5.210519790649414, 15.237459182739258, 1736, 0
1.3593498468399048, 25.0428466796875, 1316, 1
1.355564832687378, 16.294843673706055, 579, 1
0.5078383684158325, 15.82886791229248, 464, 1
1.2304065227508545, 24.6340274810791, 1188, 1
1.3450431823730469, 20.513994216918945, 1296, 1
1.5876210927963257, 16.80292510986328, 1509, 1
1.4849861860275269, 25.14829444885254, 1603, 1
2.087578773498535, 14.057085037231445, 1606, 0
5.210519790649414, 13.570186614990234, 2077, 0
2.524207353591919, 11.079418182373047, 3680, 0
2.822953939437866, 14.342039108276367, 4167, 0
5.349185466766357, 18.92100715637207, 4321, 0
2.944058895111084, 14.227228164672852, 4387, 0
5.354445457458496, 20.607759475708008, 4205, 0
5.260404586791992, 17.89015007019043, 4169, 0
5.2608866691589355, 19.414480209350586, 4219, 0



8.629463195800781, 13.45602798461914, 2260, 0
2.312128782272339, 18.51329231262207, 2205, 0
6.6039838790893555, 13.558759689331055, 2253, 0
2.4422903060913086, 15.4511079788208, 2217, 0
8.633732795715332, 18.87864875793457, 2246, 0
2.1980679035186768, 17.675071716308594, 2223, 0
8.751567840576172, 15.401006698608398, 2187, 0
2.1868743896484375, 22.971715927124023, 2188, 0
2.170125961303711, 22.47325897216797, 2172, 0
2.0959768295288086, 22.49826431274414, 2210, 0
2.204941511154175, 19.846508026123047, 2221, 0
2.299694299697876, 22.73349952697754, 2280, 0
2.2090702056884766, 19.385683059692383, 2261, 0
2.19647216796875, 19.323040008544922, 2182, 0
2.207098960876465, 18.976238250732422, 2176, 0
2.2069005966186523, 21.791004180908203, 2219, 0
2.0885345935821533, 21.91924285888672, 2083, 0
1.815346121788025, 26.404560089111328, 1876, 0
1.5802265405654907, 26.010581970214844, 1577, 0
1.3534674644470215, 29.11642837524414, 1327, 1
1.2365857362747192, 29.21709442138672, 1242, 1
1.2372115850448608, 31.52855110168457, 1259, 1
1.3444846868515015, 27.760936737060547, 1347, 1
1.115499496459961, 28.81352424621582, 1242, 1
0.9924083352088928, 23.84625244140625, 1026, 1
0.8710946440696716, 35.021881103515625, 876, 1
0.8611239790916443, 32.11764907836914, 897, 1
1.0882956981658936, 28.273008346557617, 974, 1
1.1068438291549683, 31.765724182128906, 1130, 1
1.4263004064559937, 30.155006408691406, 1351, 1
1.477372169494629, 27.81175422668457, 1536, 0
1.47104811668396, 17.74535369873047, 1705, 0
1.8322950601577759, 23.819293975830078, 1814, 0
2.187411069869995, 22.00118064880371, 2139, 0
1.969386339187622, 19.137603759765625, 2054, 0
1.6784549951553345, 27.611408233642578, 1584, 1
1.2348806858062744, 31.898605346679688, 1158, 1
1.2057127952575684, 25.40250015258789, 1014, 1
1.227248191833496, 33.87741470336914, 1218, 1
1.483046293258667, 29.665937423706055, 1485, 1
1.794976830482483, 28.944477081298828, 1788, 0
1.6079448461532593, 19.791973114013672, 2045, 0
8.659931182861328, 19.97402572631836, 2310, 0
2.5341851711273193, 19.03487777709961, 2427, 0
2.580099582672119, 23.2283878326416, 2477, 0
8.751567840576172, 15.554473876953125, 2718, 0
2.9505631923675537, 17.003948211669922, 2706, 0
3.3026010990142822, 14.143390655517578, 2733, 0
3.2970528602600098, 16.34750747680664, 3081, 0
6.120254039764404, 11.744611740112305, 2870, 0
3.3091928958892822, 16.231016159057617, 2919, 0
2.823364734649658, 16.009109497070312, 2573, 0
1.9691545963287354, 24.052200317382812, 1875, 1
1.3415939807891846, 32.427772521972656, 1263, 1
0.86844801902771, 32.59876251220703, 889, 1
0.9793205857276917, 27.40443229675293, 840, 1
0.7519108057022095, 35.948455810546875, 759, 1
0.7490397095680237, 32.193111419677734, 761, 1
1.3031561374664307, 26.409318923950195, 916, 0
1.3493473529815674, 24.13109016418457, 1123, 0
1.2348212003707886, 34.338623046875, 1261, 1
1.3197401762008667, 26.955005645751953, 1416, 1
1.4813357591629028, 26.929271697998047, 1625, 1
1.792931079864502, 22.43995475769043, 1826, 1
2.0715255737304688, 21.00399398803711, 1985, 0
8.751567840576172, 15.44032096862793, 2174, 0
